quarter,date,btc_holdings,avg_cost_usd,shares_outstanding,reported_net_income_usd,is_actual_asc360
2020Q4,2020-12-31,70470,15964,9700000,2661000,False
2021Q1,2021-03-31,91064,24214,10200000,-110020000,False
2021Q2,2021-06-30,105085,26080,10500000,-299347000,False
2021Q3,2021-09-30,114042,27713,10700000,-36136000,False
2021Q4,2021-12-31,124391,30159,10900000,-89977000,False
2022Q1,2022-03-31,129218,30700,11100000,-130751000,False
2022Q2,2022-06-30,129699,30664,11200000,-1062298000,False
2022Q3,2022-09-30,130000,30639,11200000,-27079000,False
2022Q4,2022-12-31,132500,29861,11300000,-249669000,False
2023Q1,2023-03-31,140000,29803,11400000,461193000,False
2023Q2,2023-06-30,152333,29668,11600000,22243000,False
2023Q3,2023-09-30,158400,29586,11800000,-143441000,False
2023Q4,2023-12-31,189150,31168,12100000,89126000,False
2024Q1,2024-03-31,214246,35180,13100000,-53118000,False
2024Q2,2024-06-30,226500,36798,13500000,-102559000,False
2024Q3,2024-09-30,252220,39266,197300000,-340174000,False
2024Q4,2024-12-31,446400,62428,245778498,-670810000,False
2025Q1,2025-03-31,528185,67457,266177509,-4217370000,True
2025Q2,2025-06-30,597325,70982,280958591,10020846000,True
2025Q3,2025-09-30,640031,73983,287108676,2785024000,True
2025Q4,2025-12-31,672500,74997,312062250,-12436652000,True
